,Unnamed: 0,docname,challenge,reversecosine,reversecosine_z,doctype,insp_A,insp_type
0,0,bone-marrow_A_challengebrief,bone-marrow,,,A,,NaN
1,1,bone-marrow_C-001,bone-marrow,-0.046084488,-0.171221033,C,,NaN
2,2,bone-marrow_C-002,bone-marrow,-0.030099485,0.374095812,C,,NaN
3,3,bone-marrow_C-003,bone-marrow,-0.028967632000000007,0.4127081620000001,C,,NaN
4,4,bone-marrow_C-004,bone-marrow,-0.028661852,0.423139624,C,,NaN
5,5,bone-marrow_C-005,bone-marrow,-0.019337269,0.7412410209999999,C,,NaN
6,6,bone-marrow_C-006,bone-marrow,-0.051868991,-0.368555171,C,,NaN
7,7,bone-marrow_C-007,bone-marrow,-0.007149922,1.157003542,C,,NaN
8,8,bone-marrow_C-008,bone-marrow,-0.045080178,-0.136959699,C,,NaN
9,9,bone-marrow_C-009,bone-marrow,-0.002586613,1.312677528,C,,NaN
10,10,bone-marrow_C-010,bone-marrow,-0.029200506,0.404763825,C,,NaN
11,11,bone-marrow_C-011,bone-marrow,-0.04445707,-0.115702847,C,,NaN
12,12,bone-marrow_C-012,bone-marrow,-0.01504316,0.887731452,C,,NaN
13,13,bone-marrow_C-013,bone-marrow,-0.094158403,-1.811227896,C,,NaN
14,14,bone-marrow_C-014,bone-marrow,-0.072540622,-1.073752903,C,,NaN
15,15,bone-marrow_C-015,bone-marrow,-0.052809147,-0.400627919,C,,NaN
16,16,bone-marrow_C-016,bone-marrow,-0.033718473,0.250636634,C,,NaN
17,17,bone-marrow_C-017,bone-marrow,-0.00393082,1.266820886,C,,NaN
18,18,bone-marrow_C-018,bone-marrow,-0.031245828,0.334989147,C,,NaN
19,19,bone-marrow_C-019,bone-marrow,-0.06008414,-0.64880905,C,,NaN
20,20,bone-marrow_C-020,bone-marrow,-0.004973586,1.231247685,C,,NaN
21,21,bone-marrow_C-021,bone-marrow,-0.044965588,-0.13305054800000002,C,,NaN
22,22,bone-marrow_C-022,bone-marrow,-0.003740622,1.273309348,C,,NaN
23,23,bone-marrow_C-023,bone-marrow,-0.058216325,-0.58508989,C,,NaN
24,24,bone-marrow_C-024,bone-marrow,-0.031698295,0.319553541,C,,NaN
25,25,bone-marrow_C-025,bone-marrow,-0.048666095,-0.25929067100000003,C,,NaN
26,26,bone-marrow_C-026,bone-marrow,-0.091052819,-1.705283122,C,,NaN
27,27,bone-marrow_C-027,bone-marrow,-0.047550002,-0.221215966,C,,NaN
28,28,bone-marrow_C-028,bone-marrow,-0.071405818,-1.035039909,C,,NaN
29,29,bone-marrow_C-029,bone-marrow,-0.052942021,-0.405160794,C,,NaN
30,30,bone-marrow_C-030,bone-marrow,-0.047497363,-0.219420234,C,,NaN
31,31,bone-marrow_C-031,bone-marrow,-0.02936095,0.399290372,C,,NaN
32,32,bone-marrow_C-032,bone-marrow,-0.096326105,-1.885177464,C,,NaN
33,33,bone-marrow_C-033,bone-marrow,-0.018354034,0.7747833559999999,C,,NaN
34,34,bone-marrow_C-034,bone-marrow,-0.053593136,-0.4273731120000001,C,,NaN
35,35,bone-marrow_C-035,bone-marrow,-0.045755827,-0.160008978,C,,NaN
36,36,bone-marrow_C-036,bone-marrow,-0.052417452,-0.38726551,C,,NaN
37,37,bone-marrow_C-037,bone-marrow,-0.037389834,0.12539081,C,,NaN
38,38,bone-marrow_C-038,bone-marrow,-0.050919324,-0.33615796600000003,C,,NaN
39,39,bone-marrow_C-039,bone-marrow,-0.125604885,-2.884001905,C,,NaN
40,40,bone-marrow_C-040,bone-marrow,-0.07095083099999999,-1.019518345,C,,NaN
41,41,bone-marrow_C-041,bone-marrow,-0.034016656,0.240464359,C,,NaN
42,42,bone-marrow_C-042,bone-marrow,-0.056547495,-0.528158958,C,,NaN
43,43,bone-marrow_C-043,bone-marrow,-0.105426983,-2.195647363,C,,NaN
44,44,bone-marrow_C-044,bone-marrow,-0.019900165,0.7220382409999999,C,,NaN
45,45,bone-marrow_C-045,bone-marrow,-0.024638852000000003,0.5603813639999999,C,,NaN
46,46,bone-marrow_C-046,bone-marrow,-0.058932009,-0.609504904,C,,NaN
47,47,bone-marrow_C-047,bone-marrow,-0.049947163,-0.302993393,C,,NaN
48,48,bone-marrow_C-048,bone-marrow,-0.05975560200000001,-0.637601183,C,,NaN
49,49,bone-marrow_C-049,bone-marrow,-0.047962614,-0.235291932,C,,NaN
50,50,bone-marrow_C-050,bone-marrow,-0.01462383,0.902036569,C,,NaN
51,51,bone-marrow_C-051,bone-marrow,-0.029850119,0.382602727,C,,NaN
52,52,bone-marrow_C-052,bone-marrow,-0.040082759,0.033523636,C,,NaN
53,53,bone-marrow_C-053,bone-marrow,-0.012468573,0.975561631,C,,NaN
54,54,bone-marrow_C-054,bone-marrow,-0.06181131400000001,-0.7077303220000001,C,,NaN
55,55,bone-marrow_C-055,bone-marrow,-0.028154642,0.440442701,C,,NaN
56,56,bone-marrow_C-056,bone-marrow,-0.028307767,0.435218974,C,,NaN
57,57,bone-marrow_C-057,bone-marrow,-0.059622828,-0.6330717029999999,C,,NaN
58,58,bone-marrow_C-058,bone-marrow,-0.014676785,0.900230064,C,,NaN
59,59,bone-marrow_C-059,bone-marrow,-0.064066612,-0.784668183,C,,NaN
60,60,bone-marrow_C-060,bone-marrow,-0.05618041,-0.515636102,C,,NaN
61,61,bone-marrow_C-061,bone-marrow,-0.074691046,-1.147113064,C,,NaN
62,62,bone-marrow_C-062,bone-marrow,-0.006408004,1.182313546,C,,NaN
63,63,bone-marrow_C-063,bone-marrow,-0.05715494400000001,-0.5488816360000001,C,,NaN
64,64,bone-marrow_C-064,bone-marrow,-0.003814036,1.270804906,C,,NaN
65,65,bone-marrow_C-065,bone-marrow,-0.062849143,-0.743135097,C,,NaN
66,66,bone-marrow_C-066,bone-marrow,-0.071459493,-1.036870975,C,,NaN
67,67,bone-marrow_C-067,bone-marrow,-0.047246859,-0.210874481,C,,NaN
68,68,bone-marrow_C-068,bone-marrow,-0.04739702,-0.21599709,C,,NaN
69,69,bone-marrow_C-069,bone-marrow,-0.051710439,-0.363146292,C,,NaN
70,70,bone-marrow_C-070,bone-marrow,-0.027797456,0.45262787,C,,NaN
71,71,bone-marrow_C-071,bone-marrow,-0.074745447,-1.148968924,C,,NaN
72,72,bone-marrow_C-072,bone-marrow,-0.004445195,1.249273349,C,,NaN
73,73,bone-marrow_C-073,bone-marrow,-0.060262525,-0.65489452,C,,NaN
74,74,bone-marrow_C-074,bone-marrow,-0.016103574,0.851556187,C,,NaN
75,75,bone-marrow_C-075,bone-marrow,-0.102498168,-2.095732955,C,,NaN
76,76,bone-marrow_C-076,bone-marrow,-0.039935115,0.038560403,C,,NaN
77,77,bone-marrow_C-077,bone-marrow,-0.06350041,-0.765352606,C,,NaN
78,78,bone-marrow_C-078,bone-marrow,-0.034905794,0.210132036,C,,NaN
